ANO,MES,DIA,HORA,DIA_SEMANA,ESTACION,SO2,NO2,PM2.5,PM10,O3,TEMPERATURA,PRECIPITACION,DIR_VIENTO,VEL_VIENTO,ICA_SO2,ICA_PM10,ICA_O3,ICA_NO2,ICA
2022.0,1.0,6.0,19,Jueves,8.0,3.0,70.0,7.0,12.0,8.28,4.4,0.0,10.5,2.63,2.4,24.0,6.9,175.0,52.08
2022.0,1.0,6.0,20,Jueves,8.0,4.0,76.0,10.0,15.0,5.07,4.4,0.0,10.5,2.63,3.2,30.0,4.23,190.0,56.86
2022.0,1.0,6.0,21,Jueves,8.0,4.0,73.0,14.0,18.0,6.0,4.4,0.0,10.5,2.63,3.2,36.0,5.0,182.5,56.68
2022.0,1.0,6.0,22,Jueves,8.0,4.0,67.0,6.0,10.0,10.4,4.4,0.0,10.5,2.63,3.2,20.0,8.67,167.5,49.84
2022.0,1.0,6.0,23,Jueves,8.0,4.0,52.0,3.0,5.0,20.56,4.4,0.0,10.5,2.63,3.2,10.0,17.13,130.0,40.08
2022.0,1.0,7.0,0,Viernes,8.0,4.0,49.0,7.0,10.0,16.89,5.6,0.0,10.7,2.64,3.2,20.0,14.08,122.5,39.94
2022.0,1.0,7.0,1,Viernes,8.0,4.0,52.0,11.0,14.0,11.73,5.6,0.0,10.7,2.64,3.2,28.0,9.78,130.0,42.74
2022.0,1.0,7.0,2,Viernes,8.0,4.0,38.0,10.0,12.0,21.33,5.6,0.0,10.7,2.64,3.2,24.0,17.77,95.0,34.99
2022.0,1.0,7.0,3,Viernes,8.0,4.0,25.0,3.0,6.0,34.15,5.6,0.0,10.7,2.64,3.2,12.0,28.46,62.5,26.54
2022.0,1.0,7.0,4,Viernes,8.0,3.0,22.0,9.0,9.0,31.6,5.6,0.0,10.7,2.64,2.4,18.0,26.33,55.0,25.43
2022.0,1.0,7.0,5,Viernes,8.0,3.0,22.0,3.0,3.0,39.99,5.6,0.0,10.7,2.64,2.4,6.0,33.32,55.0,24.18
2022.0,1.0,7.0,6,Viernes,8.0,3.0,37.0,5.0,8.0,22.14,5.6,0.0,10.7,2.64,2.4,16.0,18.45,92.5,32.34
